date,close,volume,open,high,low
2017/01/09,796.92,3442864,798,801.7742,791.77
2017/01/06,795.99,5981169,782.36,799.44,778.48
2017/01/05,780.45,5820195,761.55,782.3999,760.2557
2017/01/04,757.18,2505296,758.39,759.68,754.2
2017/01/03,753.67,3519877,757.92,758.7595,747.7
2016/12/30,749.87,4132707,766.47,767.3999,748.28
2016/12/29,765.15,3154980,772.4,773.4,760.85
2016/12/28,772.13,3282597,776.25,780,770.5
2016/12/27,771.4,2630692,763.4,774.65,761.2
2016/12/23,760.59,1978722,764.55,766.5,757.99
2016/12/22,766.34,2521462,768.12,771.21,763.02
2016/12/21,770.6,2041288,770,771.22,765.7
2016/12/20,771.22,2701395,768.65,774.39,767.71
2016/12/19,766,3107956,758.89,770.5,756.16
2016/12/16,757.77,4846155,765,765.13,754
2016/12/15,761,3795503,766.28,769.1,760.31
